keyword,group,mean_index
deposit,성별:남,9.7
deposit,성별:여,10.7
deposit,장년(55+),8.0
deposit,중년(35-54),9.0
deposit,청년(19-34),15.2
loan,성별:남,50.6
loan,성별:여,52.4
loan,장년(55+),37.6
loan,중년(35-54),48.3
loan,청년(19-34),52.3
realestate,성별:남,58.5
realestate,성별:여,61.1
realestate,장년(55+),42.7
realestate,중년(35-54),63.0
realestate,청년(19-34),69.9
inflation,성별:남,22.1
inflation,성별:여,22.8
inflation,장년(55+),15.3
inflation,중년(35-54),18.6
inflation,청년(19-34),26.0
currency,성별:남,29.4
currency,성별:여,35.8
currency,장년(55+),30.0
currency,중년(35-54),32.6
currency,청년(19-34),32.3
invest,성별:남,50.9
invest,성별:여,42.7
invest,장년(55+),48.3
invest,중년(35-54),47.2
invest,청년(19-34),45.4
