tone,search,E,lag,rho,p,align,n
inflation,deposit,1,3,0.388,0.0,0.388,105
inflation,loan,-1,0,0.158,0.102,-0.158,108
inflation,realestate,-1,1,0.156,0.108,-0.156,107
inflation,inflation,1,0,0.439,0.0,0.439,108
inflation,currency,1,3,0.128,0.192,0.128,105
inflation,invest,-1,3,-0.458,0.0,0.458,105
growth,deposit,1,3,0.269,0.005,0.269,105
growth,loan,-1,0,-0.005,0.958,0.005,108
growth,realestate,-1,3,-0.015,0.883,0.015,105
growth,inflation,1,0,0.32,0.001,0.32,108
growth,currency,1,3,0.041,0.676,0.041,105
growth,invest,-1,3,-0.407,0.0,0.407,105
finstab,deposit,1,3,0.453,0.0,0.453,105
finstab,loan,-1,0,0.174,0.071,-0.174,108
finstab,realestate,-1,2,0.113,0.247,-0.113,106
finstab,currency,1,3,0.278,0.004,0.278,105
finstab,invest,-1,3,-0.502,0.0,0.502,105
fiscal,deposit,1,0,0.354,0.0,0.354,106
fiscal,loan,-1,3,-0.0,0.997,0.0,103
fiscal,realestate,-1,3,0.103,0.302,-0.103,103
fiscal,inflation,-1,3,-0.068,0.494,0.068,103
fiscal,invest,-1,3,-0.399,0.0,0.399,103
