q,F_neg_all,F_neg_re_loan,n_articles,D_deviation,REV_loan_re
2016Q1,-0.04134366925064599,0.07207207207207209,129,0.4019707920988012,0.6565501475840928
2016Q2,-0.0625,,32,0.6058108325878796,0.93013003142987
2016Q3,0.3854166666666667,,64,0.368441419660183,0.8273917700477483
2016Q4,0.2277777777777778,0.47811447811447816,420,0.1867978284272935,0.3966906129405164
2017Q1,0.391304347826087,,23,0.10261422403591942,0.02573612703861483
2017Q2,-0.030303030303030304,-0.125,66,0.2215869878176273,0.09350226712559996
2017Q3,0.6352941176470588,0.0,85,0.19388175577228486,0.11997724825261737
2017Q4,-0.04336468129571578,-0.08796296296296297,319,0.2972900468038195,0.11257474432916292
2018Q1,0.5818181818181818,0.5365853658536586,55,0.25895789872031,0.0484446415687138
2018Q2,0.423728813559322,,59,0.32213052607923853,0.2351846245523542
2018Q3,0.21176470588235294,0.32075471698113206,85,0.2232832924713973,0.12407290946289956
2018Q4,0.15224358974358976,0.26666666666666666,416,0.18107151563410637,0.2602868070129316
2019Q1,0.44594594594594594,0.6086956521739131,111,0.20174859890119143,0.354987842829482
2019Q2,-0.24444444444444444,,30,0.6196899058559232,1.276954786063314
2019Q3,0.06439393939393939,0.4949494949494949,88,0.46515249007139187,0.8911453749765589
2019Q4,0.13650075414781299,0.1518987341772152,442,0.21100828304420474,0.5599970288560039
2020Q1,0.7857142857142857,,28,0.35918006400113084,0.0016713894234922332
2020Q2,-0.19230769230769232,,26,0.06024725848095303,0.126535951106347
2020Q3,0.4398148148148148,0.5673758865248227,72,0.013560633066681467,0.0
2020Q4,0.14337349397590363,0.30092592592592593,415,0.13630264590894517,0.03000827075359477
2021Q1,0.1496124031007752,0.7777777777777778,86,0.1254420093400962,0.11825744910135867
2021Q2,0.7050359712230215,0.5384615384615384,139,0.27924436269001446,0.2554804695016862
2021Q3,0.6578947368421053,0.37777777777777777,114,0.40400053896766325,0.7278887908855961
2021Q4,0.16296296296296295,0.1570048309178744,450,0.3748247218224696,0.5206938901388977
2022Q1,0.3252032520325203,0.5454545454545454,41,0.3745139025168233,0.4235237530332161
2022Q2,0.33017377567140604,0.18481848184818483,211,0.32223889311278225,0.5706780578734809
2022Q3,0.4675324675324675,0.09803921568627451,154,0.19339207244006817,0.39094202412312323
2022Q4,0.3872387238723872,0.35313531353135313,606,0.3978766218786813,1.3547920267269722
2023Q1,0.26857142857142857,0.45454545454545453,175,0.40244095075258635,1.364667994691608
2023Q2,0.1880952380952381,0.17142857142857143,140,0.28435314193316313,0.8828451234586586
2023Q3,0.36015325670498083,0.25,174,0.18053801694771873,0.3719086076277272
2023Q4,0.19576719576719576,0.38095238095238093,441,0.1223935458978972,0.39197597702802095
2024Q1,0.5878787878787879,0.2727272727272727,55,0.16828666231556655,0.2898525215659043
2024Q2,0.07291666666666667,0.15,128,0.057561566102833604,0.11808683131792508
2024Q3,0.34615384615384615,0.6285714285714286,208,0.1001961251359585,0.0359364770765894
2024Q4,0.46564885496183206,0.1347517730496454,524,0.5567700860663217,0.18979758569100955
